Date	Unknown	キビタキ	メジロ	シジュウカラ	ヒヨドリ	ソウシチョウ	雑音	ウグイス	ヤマガラ
2011/4/1	51	0	0	0	0	0	58	0	0
2011/4/2	82	0	0	0	1	0	20	1	0
2011/4/3	108	0	0	0	0	2	30	1	0
2011/4/4	105	0	0	3	2	0	82	9	7
2011/4/5	78	0	0	0	1	0	54	5	5
2011/4/6	96	0	0	2	0	0	35	0	0
2011/4/7	136	0	0	1	1	15	21	0	3
2011/4/8	155	0	0	0	1	8	14	0	1
2011/4/9	128	0	2	0	110	1	76	0	0
2011/4/10	143	3	0	0	38	7	101	0	0
2011/4/11	126	0	0	0	36	40	99	0	0
2011/4/12	149	4	0	0	10	54	95	0	0
2011/4/13	179	2	0	0	71	27	113	1	0
2011/4/14	335	6	1	1	122	110	95	2	0
2011/4/15	145	0	0	0	11	26	67	0	0
2011/4/16	122	12	1	0	12	44	74	5	0
2011/4/17	154	0	0	0	4	35	54	28	0
2011/4/18	603	66	0	24	104	17	117	11	0
2011/4/19	591	209	0	32	23	63	140	3	0
2011/4/20	770	339	0	30	58	48	97	1	0
2011/4/21	345	110	3	11	19	27	97	15	0
2011/4/22	402	36	0	7	39	26	77	3	0
2011/4/23	222	5	0	0	17	17	71	6	0
2011/4/24	1194	422	0	33	92	45	91	3	0
2011/4/25	632	164	1	17	64	17	175	0	0
2011/4/26	608	165	0	4	35	14	137	1	0
2011/4/27	1270	182	0	43	142	10	118	9	0
2011/4/28	1275	299	0	27	98	29	122	1	0
2011/4/29	805	66	0	5	31	24	265	1	0
2011/4/30	400	10	0	0	16	37	360	0	0
2012/4/1	20	0	0	0	0	0	35	0	0
2012/4/2	9	0	0	0	0	0	35	0	0
2012/4/3	24	0	0	0	0	0	30	5	0
2012/4/4	3	0	0	0	0	0	3	0	0
2012/4/5	257	0	9	1	1	14	15	0	0
2012/4/6	169	0	2	2	1	6	12	2	0
2012/4/7	163	0	4	0	4	3	12	1	1
2012/4/8	108	2	0	0	3	0	7	0	1
2012/4/9	488	46	5	2	3	3	17	0	35
2012/4/10	679	38	2	8	4	5	43	0	50
2012/4/11	240	5	0	10	0	11	1	2	22
2012/4/12	608	17	1	4	10	11	19	1	8
2012/4/13	539	6	3	0	12	2	97	0	0
2012/4/14	602	29	0	4	2	5	94	0	0
2012/4/15	669	6	1	2	2	36	101	7	0
2012/4/16	224	5	1	7	1	0	12	0	0
2012/4/17	587	5	0	1	4	28	122	7	0
2012/4/18	244	0	1	0	0	28	23	2	0
2012/4/19	114	0	0	0	2	0	23	0	0
2012/4/20	163	0	0	0	1	5	15	0	0
2012/4/21	284	0	6	0	0	8	70	1	0
2012/4/22	220	0	0	1	1	23	34	7	0
2012/4/23	295	0	1	0	0	30	13	1	1
2012/4/24	487	0	1	0	1	70	39	0	0
2012/4/25	322	3	1	0	0	7	20	3	0
2012/4/26	143	0	0	0	0	18	39	22	0
2012/4/27	845	15	0	3	4	124	34	3	0
2012/4/28	866	82	1	1	6	6	55	1	0
2012/4/29	840	26	0	5	3	15	35	0	0
2012/4/30	1124	60	0	6	7	41	214	17	0
